,event_no,category,element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,30,OBJECT,cake,,cke,,cak,ccake,caake,cakke,cakee,c ake,ca ke,cak e,acke,ckae,caek,cxake,xcake,cdake,dcake,cfake,fcake,cvake,vcake,caqke,cqake,cawke,cwake,caske,csake,cazke,czake,cakme,camke,cakje,cajke,cakie,caike,cakoe,caoke,cakle,calke,cakew,cakwe,cakes,cakse,caked,cakde,caker,cakre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,52,OBJECT,calculator,alculator,clculator,caculator,calulator,calclator,calcuator,calcultor,calculaor,calculatr,calculato,ccalculator,caalculator,callculator,calcculator,calcuulator,calcullator,calculaator,calculattor,calculatoor,calculatorr,c alculator,ca lculator,cal culator,calc ulator,calcu lator,calcul ator,calcula tor,calculat or,calculato r,aclculator,claculator,caclulator,caluclator,calcluator,calcualtor,calcultaor,calculaotr,calculatro,cxalculator,xcalculator,cdalculator,dcalculator,cfalculator,fcalculator,cvalculator,vcalculator,caqlculator,cqalculator,cawlculator,cwalculator,caslculator,csalculator,cazlculator,czalculator,calkculator,caklculator,caloculator,caolculator,calpculator,caplculator,calcxulator,calxculator,calcdulator,caldculator,calcfulator,calfculator,calcvulator,calvculator,calcuylator,calcyulator,calcuhlator,calchulator,calcujlator,calcjulator,calcuilator,calciulator,calculkator,calcuklator,calculoator,calcuolator,calculpator,calcuplator,calculaqtor,calculqator,calculawtor,calculwator,calculastor,calculsator,calculaztor,calculzator,calculatror,calculartor,calculatfor,calculaftor,calculatgor,calculagtor,calculatyor,calculaytor,calculatoir,calculatior,calculatokr,calculatkor,calculatolr,calculatlor,calculatopr,calculatpor,calculatore,calculatoer,calculatord,calculatodr,calculatorf,calculatofr,calculatort,calculatotr,calc,calcu,calcul,calcula,calculat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,ANIMAL,camel,amel,cmel,cael,caml,,ccamel,caamel,cammel,cameel,camell,c amel,ca mel,cam el,came l,acmel,cmael,caeml,camle,cxamel,xcamel,cdamel,dcamel,cfamel,fcamel,cvamel,vcamel,caqmel,cqamel,cawmel,cwamel,casmel,csamel,cazmel,czamel,camnel,canmel,camjel,cajmel,camkel,cakmel,camewl,camwel,camesl,camsel,camedl,camdel,camerl,camrel,camelk,camekl,camelo,cameol,camelp,camepl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,11,OBJECT,camera,amera,cmera,caera,camra,camea,camer,ccamera,caamera,cammera,cameera,camerra,cameraa,c amera,ca mera,cam era,came ra,camer a,acmera,cmaera,caemra,camrea,camear,cxamera,xcamera,cdamera,dcamera,cfamera,fcamera,cvamera,vcamera,caqmera,cqamera,cawmera,cwamera,casmera,csamera,cazmera,czamera,camnera,canmera,camjera,cajmera,camkera,cakmera,camewra,camwera,camesra,camsera,camedra,camdera,camrera,camerea,camerda,camerfa,camefra,camerta,cametra,cameraq,camerqa,cameraw,camerwa,cameras,camersa,cameraz,camerza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,56,LOCATION,campsite,ampsite,cmpsite,capsite,camsite,campite,campste,campsie,campsit,ccampsite,caampsite,cammpsite,camppsite,campssite,campsiite,campsitte,campsitee,c ampsite,ca mpsite,cam psite,camp site,camps ite,campsi te,campsit e,acmpsite,cmapsite,capmsite,camspite,campiste,campstie,campsiet,cxampsite,xcampsite,cdampsite,dcampsite,cfampsite,fcampsite,cvampsite,vcampsite,caqmpsite,cqampsite,cawmpsite,cwampsite,casmpsite,csampsite,cazmpsite,czampsite,camnpsite,canmpsite,camjpsite,cajmpsite,camkpsite,cakmpsite,camposite,camopsite,camplsite,camlpsite,campswite,campwsite,campsaite,campasite,campszite,campzsite,campsxite,campxsite,campsdite,campdsite,campseite,campesite,campsiute,campsuite,campsijte,campsjite,campsikte,campskite,campsiote,campsoite,campsitre,campsirte,campsitfe,campsifte,campsitge,campsigte,campsitye,campsiyte,campsitew,campsitwe,campsites,campsitse,campsited,campsitde,campsiter,,camp,camps,campsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,38,OBJECT,candle,andle,cndle,cadle,canle,cande,candl,ccandle,caandle,canndle,canddle,candlle,candlee,c andle,ca ndle,can dle,cand le,candl e,acndle,cnadle,cadnle,canlde,candel,cxandle,xcandle,cdandle,dcandle,cfandle,fcandle,cvandle,vcandle,caqndle,cqandle,cawndle,cwandle,casndle,csandle,cazndle,czandle,canbdle,cabndle,canhdle,cahndle,canjdle,cajndle,canmdle,camndle,candele,canedle,candsle,cansdle,candxle,canxdle,candcle,cancdle,candfle,canfdle,candrle,canrdle,candlke,candkle,candloe,candole,candlpe,candple,candlew,candlwe,candles,candlse,candled,candlde,candler,candlre,cand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,44,LOCATION,car park,ar park,cr park,ca park,carpark,car ark,car prk,car pak,car par,ccar park,caar park,carr park,car  park,car ppark,car paark,car parrk,car parkk,c ar park,ca r park,car p ark,car pa rk,car par k,acr park,cra park,ca rpark,carp ark,car aprk,car prak,car pakr,cxar park,xcar park,cdar park,dcar park,cfar park,fcar park,cvar park,vcar park,caqr park,cqar park,cawr park,cwar park,casr park,csar park,cazr park,czar park,care park,caer park,card park,cadr park,carf park,cafr park,cart park,catr park,car poark,car opark,car plark,car lpark,car paqrk,car pqark,car pawrk,car pwark,car pasrk,car psark,car pazrk,car pzark,car parek,car paerk,car pardk,car padrk,car parfk,car pafrk,car partk,car patrk,car parkm,car parmk,car parkj,car parjk,car parki,car parik,car parko,car parok,car parkl,car parlk,,carp,carpa,carpar,car p,car pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,OBJECT,carrot,arrot,crrot,carot,carrt,carro,ccarrot,caarrot,carrrot,carroot,carrott,c arrot,ca rrot,car rot,carr ot,carro t,acrrot,crarot,carort,carrto,cxarrot,xcarrot,cdarrot,dcarrot,cfarrot,fcarrot,cvarrot,vcarrot,caqrrot,cqarrot,cawrrot,cwarrot,casrrot,csarrot,cazrrot,czarrot,carerot,caerrot,cardrot,cadrrot,carfrot,cafrrot,cartrot,catrrot,carreot,carrdot,carrfot,carrtot,carroit,carriot,carrokt,carrkot,carrolt,carrlot,carropt,carrpot,carrotr,carrort,carrotf,carroft,carrotg,carrogt,carroty,carroyt,carr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,43,LOCATION,casino,asino,csino,caino,casno,casio,casin,ccasino,caasino,cassino,casiino,casinno,casinoo,c asino,ca sino,cas ino,casi no,casin o,acsino,csaino,caisno,casnio,casion,cxasino,xcasino,cdasino,dcasino,cfasino,fcasino,cvasino,vcasino,caqsino,cqasino,cawsino,cwasino,csasino,cazsino,czasino,caswino,casaino,caszino,casxino,caxsino,casdino,cadsino,caseino,caesino,casiuno,casuino,casijno,casjino,casikno,caskino,casiono,casoino,casinbo,casibno,casinho,casihno,casinjo,casinmo,casimno,casinoi,casinio,casinok,casinko,casinol,casinlo,casinop,casinpo,casi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,26,LOCATION,castle,astle,cstle,catle,casle,caste,castl,ccastle,caastle,casstle,casttle,castlle,castlee,c astle,ca stle,cas tle,cast le,castl e,acstle,csatle,catsle,caslte,castel,cxastle,xcastle,cdastle,dcastle,cfastle,fcastle,cvastle,vcastle,caqstle,cqastle,cawstle,cwastle,csastle,cazstle,czastle,caswtle,casatle,casztle,casxtle,caxstle,casdtle,cadstle,casetle,caestle,castrle,casrtle,castfle,casftle,castgle,casgtle,castyle,casytle,castlke,castkle,castloe,castole,castlpe,castple,castlew,castlwe,castles,castlse,castled,castlde,castler,castlre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,ANIMAL,cat,,,,ccat,caat,catt,c at,ca t,act,cta,cxat,xcat,cdat,dcat,cfat,fcat,cvat,vcat,caqt,cqat,cawt,cwat,cast,csat,cazt,czat,catr,cart,catf,caft,catg,cagt,caty,cayt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,46,LOCATION,cave,ave,cve,,cav,ccave,caave,cavve,cavee,c ave,ca ve,cav e,acve,cvae,caev,cxave,xcave,cdave,dcave,cfave,fcave,cvave,vcave,caqve,cqave,cawve,cwave,casve,csave,cazve,czave,cavce,cacve,,,cavge,cagve,cavbe,cabve,cavew,cavwe,caves,cavse,caved,cavde,caver,cavre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,17,OBJECT,chainsaw,hainsaw,cainsaw,chinsaw,chansaw,chaisaw,chainaw,chainsw,chainsa,cchainsaw,chhainsaw,chaainsaw,chaiinsaw,chainnsaw,chainssaw,chainsaaw,chainsaww,c hainsaw,ch ainsaw,cha insaw,chai nsaw,chain saw,chains aw,chainsa w,hcainsaw,cahinsaw,chiansaw,chanisaw,chaisnaw,chainasw,chainswa,cxhainsaw,xchainsaw,cdhainsaw,dchainsaw,cfhainsaw,fchainsaw,cvhainsaw,vchainsaw,chgainsaw,cghainsaw,chbainsaw,cbhainsaw,chnainsaw,cnhainsaw,chjainsaw,cjhainsaw,chuainsaw,cuhainsaw,chyainsaw,cyhainsaw,chaqinsaw,chqainsaw,chawinsaw,chwainsaw,chasinsaw,chsainsaw,chazinsaw,chzainsaw,chaiunsaw,chauinsaw,chaijnsaw,chajinsaw,chaiknsaw,chakinsaw,chaionsaw,chaoinsaw,chainbsaw,chaibnsaw,chainhsaw,chaihnsaw,chainjsaw,chainmsaw,chaimnsaw,chainswaw,chainwsaw,chainasaw,chainszaw,chainzsaw,chainsxaw,chainxsaw,chainsdaw,chaindsaw,chainseaw,chainesaw,chainsaqw,chainsqaw,chainsasw,chainsazw,chainsawq,chainsawa,chainsaws,chainsawe,chainsaew,,chai,chain,chains,chain s,chain sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,ANIMAL,chicken,hicken,cicken,chcken,chiken,chicen,chickn,chicke,cchicken,chhicken,chiicken,chiccken,chickken,chickeen,chickenn,c hicken,ch icken,chi cken,chic ken,chick en,chicke n,hcicken,cihcken,chciken,chikcen,chicekn,chickne,cxhicken,xchicken,cdhicken,dchicken,cfhicken,fchicken,cvhicken,vchicken,chgicken,cghicken,chbicken,cbhicken,chnicken,cnhicken,chjicken,cjhicken,chuicken,cuhicken,chyicken,cyhicken,chiucken,chijcken,chikcken,chkicken,chiocken,choicken,chicxken,chixcken,chicdken,chidcken,chicfken,chifcken,chicvken,chivcken,chickmen,chicmken,chickjen,chicjken,chickien,chiciken,chickoen,chicoken,chicklen,chiclken,chickewn,chickwen,chickesn,chicksen,chickedn,chickden,chickern,chickren,chickenb,chickebn,chickenh,chickehn,chickenj,chickejn,chickenm,chickemn,chic,chick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,LOCATION,church,hurch,curch,chrch,chuch,churh,churc,cchurch,chhurch,chuurch,churrch,churcch,churchh,c hurch,ch urch,chu rch,chur ch,churc h,hcurch,cuhrch,chruch,chucrh,churhc,cxhurch,xchurch,cdhurch,dchurch,cfhurch,fchurch,cvhurch,vchurch,chgurch,cghurch,chburch,cbhurch,chnurch,cnhurch,chjurch,cjhurch,cuhurch,chyurch,cyhurch,chuyrch,chuhrch,chujrch,chuirch,chiurch,churech,chuerch,churdch,chudrch,churfch,chufrch,churtch,chutrch,churcxh,churxch,churcdh,churcfh,churcvh,churvch,churchg,churcgh,churchb,churcbh,churchn,churcnh,churchj,churcjh,churchu,churcuh,churchy,churcyh,chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,40,LOCATION,cinema,inema,cnema,ciema,cinma,cinea,cinem,ccinema,ciinema,cinnema,cineema,cinemma,cinemaa,c inema,ci nema,cin ema,cine ma,cinem a,icnema,cniema,cienma,cinmea,cineam,cxinema,xcinema,cdinema,dcinema,cfinema,fcinema,cvinema,vcinema,ciunema,cuinema,cijnema,cjinema,ciknema,ckinema,cionema,coinema,cinbema,cibnema,cinhema,cihnema,cinjema,cinmema,cimnema,cinewma,cinwema,cinesma,cinsema,cinedma,cindema,cinerma,cinrema,cinemna,cinenma,cinemja,cinejma,cinemka,cinekma,cinemaq,cinemqa,cinemaw,cinemwa,cinemas,cinemsa,cinemaz,cinemza,cine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5,LOCATION,circus,ircus,crcus,cicus,cirus,circs,circu,ccircus,ciircus,cirrcus,circcus,circuus,circuss,c ircus,ci rcus,cir cus,circ us,circu s,icrcus,cricus,cicrus,cirucs,circsu,cxircus,xcircus,cdircus,dcircus,cfircus,fcircus,cvircus,vcircus,ciurcus,cuircus,cijrcus,cjircus,cikrcus,ckircus,ciorcus,coircus,cirecus,ciercus,cirdcus,cidrcus,cirfcus,cifrcus,cirtcus,citrcus,circxus,cirxcus,circdus,circfus,circvus,cirvcus,circuys,circyus,circuhs,circhus,circujs,circjus,circuis,circius,circusw,circuws,circusa,circuas,circusz,circuzs,circusx,circuxs,circusd,circuds,circuse,circues,circ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,36,LOCATION,city,ity,cty,ciy,cit,ccity,ciity,citty,cityy,c ity,ci ty,cit y,icty,ctiy,ciyt,cxity,xcity,cdity,dcity,cfity,fcity,cvity,vcity,ciuty,cuity,cijty,cjity,cikty,ckity,cioty,coity,citry,cirty,citfy,cifty,citgy,cigty,ciyty,cityt,cityg,cityh,cithy,cityu,cituy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2,LOCATION,classroom,lassroom,cassroom,clssroom,clasroom,classoom,classrom,classroo,cclassroom,cllassroom,claassroom,classsroom,classrroom,classrooom,classroomm,c lassroom,cl assroom,cla ssroom,clas sroom,class room,classr oom,classro om,classroo m,lcassroom,calssroom,clsasroom,clasrsoom,classorom,classromo,cxlassroom,xclassroom,cdlassroom,dclassroom,cflassroom,fclassroom,cvlassroom,vclassroom,clkassroom,cklassroom,cloassroom,colassroom,clpassroom,cplassroom,claqssroom,clqassroom,clawssroom,clwassroom,clsassroom,clazssroom,clzassroom,claswsroom,clasasroom,claszsroom,clasxsroom,claxssroom,clasdsroom,cladssroom,clasesroom,claessroom,classwroom,classaroom,classzroom,classxroom,classdroom,classeroom,classreoom,classrdoom,classrfoom,classfroom,classrtoom,classtroom,classroiom,classrioom,classrokom,classrkoom,classrolom,classrloom,classropom,classrpoom,classrooim,classrookm,classroolm,classroopm,classroomn,classroonm,classroomj,classroojm,classroomk,class,classr,classro,,class r,class ro,class roo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,OBJECT,clock,lock,cock,clck,clok,cloc,cclock,cllock,cloock,clocck,clockk,c lock,cl ock,clo ck,cloc k,lcock,colck,clcok,clokc,cxlock,xclock,cdlock,dclock,cflock,fclock,cvlock,vclock,clkock,cklock,colock,clpock,cplock,cloick,cliock,clokck,clolck,clopck,clocxk,cloxck,clocdk,clodck,clocfk,clofck,clocvk,clovck,clockm,clocmk,clockj,clocjk,clocki,clocik,clocko,clocok,clockl,cloclk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,ANIMAL,cow,,,,ccow,coow,coww,c ow,co w,ocw,cwo,cxow,xcow,cdow,dcow,cfow,fcow,cvow,vcow,coiw,ciow,cokw,ckow,colw,clow,copw,cpow,cowq,coqw,cowa,coaw,cows,cosw,cowe,coew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,ANIMAL,crab,rab,cab,crb,cra,ccrab,crrab,craab,crabb,c rab,cr ab,cra b,rcab,carb,crba,cxrab,xcrab,cdrab,dcrab,cfrab,fcrab,cvrab,vcrab,creab,cerab,crdab,crfab,crtab,ctrab,craqb,crqab,crawb,crwab,crasb,crsab,crazb,crzab,crabv,cravb,crabg,cragb,crabh,crahb,crabn,cranb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,ANIMAL,crocodile,rocodile,cocodile,crcodile,croodile,crocdile,crocoile,crocodle,crocodie,crocodil,ccrocodile,crrocodile,croocodile,croccodile,crocoodile,crocoddile,crocodiile,crocodille,crocodilee,c rocodile,cr ocodile,cro codile,croc odile,croco dile,crocod ile,crocodi le,crocodil e,rcocodile,corcodile,crcoodile,croocdile,crocdoile,crocoidle,crocodlie,crocodiel,cxrocodile,xcrocodile,cdrocodile,dcrocodile,cfrocodile,fcrocodile,cvrocodile,vcrocodile,creocodile,cerocodile,crdocodile,crfocodile,crtocodile,ctrocodile,croicodile,criocodile,crokcodile,crkocodile,crolcodile,crlocodile,cropcodile,crpocodile,crocxodile,croxcodile,crocdodile,crodcodile,crocfodile,crofcodile,crocvodile,crovcodile,crocoidile,crociodile,crocokdile,crockodile,crocoldile,croclodile,crocopdile,crocpodile,crocodeile,crocoedile,crocodsile,crocosdile,crocodxile,crocoxdile,crocodcile,crococdile,crocodfile,crocofdile,crocodrile,crocordile,crocodiule,crocoduile,crocodijle,crocodjile,crocodikle,crocodkile,crocodiole,crocodoile,crocodilke,crocodiloe,crocodilpe,crocodiple,crocodilew,crocodilwe,crocodiles,crocodilse,crocodiled,crocodilde,crocodiler,crocodilre,croc,croco,crocod,crocodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,16,LOCATION,cruise ship,ruise ship,cuise ship,crise ship,cruse ship,cruie ship,cruis ship,cruiseship,cruise hip,cruise sip,cruise shp,cruise shi,ccruise ship,crruise ship,cruuise ship,cruiise ship,cruisse ship,cruisee ship,cruise  ship,cruise sship,cruise shhip,cruise shiip,cruise shipp,c ruise ship,cr uise ship,cru ise ship,crui se ship,cruis e ship,cruise s hip,cruise sh ip,cruise shi p,rcuise ship,curise ship,criuse ship,crusie ship,cruies ship,cruis eship,cruises hip,cruise hsip,cruise sihp,cruise shpi,cxruise ship,xcruise ship,cdruise ship,dcruise ship,cfruise ship,fcruise ship,cvruise ship,vcruise ship,creuise ship,ceruise ship,crduise ship,crfuise ship,crtuise ship,ctruise ship,cruyise ship,cryuise ship,cruhise ship,crhuise ship,crujise ship,crjuise ship,criuise ship,cruiuse ship,cruijse ship,cruikse ship,crukise ship,cruiose ship,cruoise ship,cruiswe ship,cruiwse ship,cruisae ship,cruiase ship,cruisze ship,cruizse ship,cruisxe ship,cruixse ship,cruisde ship,cruidse ship,cruiese ship,cruisew ship,cruises ship,cruised ship,cruiser ship,cruisre ship,cruise swhip,cruise wship,cruise sahip,cruise aship,cruise szhip,cruise zship,cruise sxhip,cruise xship,cruise sdhip,cruise dship,cruise sehip,cruise eship,cruise shgip,cruise sghip,cruise shbip,cruise sbhip,cruise shnip,cruise snhip,cruise shjip,cruise sjhip,cruise shuip,cruise suhip,cruise shyip,cruise syhip,cruise shiup,cruise shijp,cruise shikp,cruise shkip,cruise shiop,cruise shoip,cruise shipo,cruise shipl,cruise shilp,,crui,cruise,cruise s,cruise sh,cruises,cruisesh,cruiseshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,30,LOCATION,dentists,entists,dntists,detists,denists,dentsts,dentits,dentiss,dentist,ddentists,deentists,denntists,denttists,dentiists,dentissts,dentistts,dentistss,d entists,de ntists,den tists,dent ists,denti sts,dentis ts,dentist s,edntists,dnetists,detnists,denitsts,dentsits,dentitss,dentisst,edentists,dsentists,sdentists,dxentists,xdentists,dcentists,cdentists,dfentists,fdentists,drentists,rdentists,dewntists,dwentists,desntists,dedntists,derntists,denbtists,debntists,denhtists,dehntists,denjtists,dejntists,denmtists,demntists,dentrists,denrtists,dentfists,denftists,dentgists,dengtists,dentyists,denytists,dentiusts,dentuists,dentijsts,dentjists,dentiksts,dentkists,dentiosts,dentoists,dentiswts,dentiwsts,dentisats,dentiasts,dentiszts,dentizsts,dentisxts,dentixsts,dentisdts,dentidsts,dentisets,dentiests,dentistrs,dentisrts,dentistfs,dentisfts,dentistgs,dentisgts,dentistys,dentisyts,dentistsw,dentistws,dentistsa,dentistas,dentistsz,dentistzs,dentistsx,dentistxs,dentistsd,dentistds,dentistse,dentistes,dent,denti,dentis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,OBJECT,dice,,dce,die,dic,ddice,diice,dicce,dicee,d ice,di ce,dic e,idce,dcie,diec,deice,edice,dsice,sdice,dxice,xdice,dcice,cdice,dfice,fdice,drice,rdice,diuce,duice,dijce,djice,dikce,dkice,dioce,doice,dicxe,dixce,dicde,didce,dicfe,difce,dicve,divce,dicew,dicwe,dices,dicse,diced,dicer,dicre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,ANIMAL,dog,,,,ddog,doog,dogg,d og,do g,odg,dgo,deog,edog,dsog,sdog,dxog,xdog,dcog,cdog,dfog,fdog,drog,rdog,doig,diog,dokg,dkog,dolg,dlog,dopg,dpog,dogf,dofg,dogt,dotg,dogy,doyg,dogh,dohg,dogb,dobg,dogv,dovg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,ANIMAL,dolphin,olphin,dlphin,dophin,dolhin,dolpin,dolphn,dolphi,ddolphin,doolphin,dollphin,dolpphin,dolphhin,dolphiin,dolphinn,d olphin,do lphin,dol phin,dolp hin,dolph in,dolphi n,odlphin,dlophin,doplhin,dolhpin,dolpihn,dolphni,deolphin,edolphin,dsolphin,sdolphin,dxolphin,xdolphin,dcolphin,cdolphin,dfolphin,fdolphin,drolphin,rdolphin,doilphin,diolphin,doklphin,dkolphin,dlolphin,doplphin,dpolphin,dolkphin,dolophin,dolpohin,dolplhin,dolphgin,dolpghin,dolphbin,dolpbhin,dolphnin,dolpnhin,dolphjin,dolpjhin,dolphuin,dolpuhin,dolphyin,dolpyhin,dolphiun,dolphijn,dolphikn,dolphkin,dolphion,dolphoin,dolphinb,dolphibn,dolphinh,dolphihn,dolphinj,dolphinm,dolphimn,dolp,dolph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
